Column Name,Present in building data dictionary,Name,Type,Range,Is multiselect?,Comments
house_cd,Yes,House Condition ,Categorical,1-8,,
floor_pre,No,? (Not provided),? (Not provided),? (Not provided),,
floor_pos,No,? (Not provided),? (Not provided),? (Not provided),,
age,No,? (Not provided),? (Not provided),? (Not provided),,
pl_area,No,? (Not provided),? (Not provided),? (Not provided),,
hgt_pre,No,? (Not provided),? (Not provided),? (Not provided),,
hgt_pos,No,? (Not provided),? (Not provided),? (Not provided),,
surf_con,Yes,Surface condition of house/land,Categorical,1-3,,
foundatn,Yes,Foundation Type of house,Categorical,1-5,,
roof,Yes,Roof Type,Categorical,1-3,,
gd_floor,Yes,Ground Floor Type,Categorical,1-5,,
up_floor,Yes,Floor Type(except ground floor and roof),,1-4,,
sup_str1,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str2,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str3,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str4,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str5,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str6,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str7,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str8,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str9,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str10,Yes,Super Structure of the house,Categorical,1-11,Yes,
sup_str11,Yes,Super Structure of the house,Categorical,1-11,Yes,
positn,Yes,Position of the House,Categorical,1-4,,
pln_conf,Yes,Plan Configuration of the house,,1-10,,
collapse,Yes,Collapse of Partial Collapse,Categorical,1-4,,Data has NA’s need to explore why that is the case
leaning,Yes`,Buliding or storey Leaning,Categorical,1-4,,Data has NA’s need to explore why that is the case
adjbld_rsk,Yes,Adjacent Building Hazard,Categorical,1-4,,Data has NA’s need to explore why that is the case
dm_fndtn1,Yes,Foundation,Categorical,"1-3, 8, 9",,"Data has NA’s, even though 9=NA, why is that?"
dm_fndtn2,Yes,Foundation,Categorical,1-3,,Data has NA(s) 
dm_fndtn3,Yes,Foundation,Categorical,1-3,,Data has NA(s) 
dm_roof1,Yes,Roof/Floor Collapse/PartialCollapse,Categorical,"1-3, 8, 9",,"Data has NA’s, even though 9=NA, why is that?"
dm_roof2,Yes,Roof/Floor Collapse/PartialCollapse,Categorical,1-3,,Data has NA(s) 
dm_roof3,Yes,Roof/Floor Collapse/PartialCollapse,Categorical,1-3,,Data has NA(s) 
